,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,280.87,72,100,0.67,AU,1631646080
1,Mar del Plata,-38.0023,-57.5575,283.97,58,100,7.25,AR,1631646126
2,Hasaki,35.7333,140.8333,292.37,92,100,3.18,JP,1631646129
3,Ponta do Sol,32.6667,-17.1,298.55,69,40,4.7,PT,1631646200
4,Mmabatho,-25.85,25.6333,293.75,17,0,3.84,ZA,1631646275
5,Jacmel,18.2342,-72.5347,304.06,61,86,2.97,HT,1631646275
6,Provideniya,64.3833,-173.3,278.19,79,100,3.66,RU,1631646123
7,Punta Arenas,-53.15,-70.9167,276.75,61,33,13.76,CL,1631646081
8,Longyearbyen,78.2186,15.6401,274.06,93,75,1.03,SJ,1631646215
9,Puerto Varas,-41.3195,-72.9854,283.27,81,75,3.09,CL,1631646276
10,Puerto Ayora,-0.7393,-90.3518,295.68,85,71,2.68,EC,1631646121
11,Pisco,-13.7,-76.2167,291.49,82,13,2.98,PE,1631646092
12,Plettenberg Bay,-34.0527,23.3716,286.96,86,92,4.43,ZA,1631646276
13,Los Llanos de Aridane,28.6585,-17.9182,297.01,84,20,3.6,ES,1631646276
14,Lavrentiya,65.5833,-171.0,277.87,84,100,4.44,RU,1631646154
15,Kuzino,57.0224,59.4412,285.97,90,100,3.95,RU,1631646277
16,Hilo,19.7297,-155.09,300.53,78,16,0.89,US,1631646091
17,Riohacha,11.5444,-72.9072,305.03,60,100,6.34,CO,1631646249
18,Port Alfred,-33.5906,26.891,289.25,84,7,7.42,ZA,1631646105
19,Pitimbu,-7.4706,-34.8086,301.48,74,3,7.14,BR,1631646285
20,Butaritari,3.0707,172.7902,301.19,76,100,6.39,KI,1631646137
21,Bengkulu,-3.8004,102.2655,297.27,86,99,2.08,ID,1631646167
22,Tuktoyaktuk,69.4541,-133.0374,279.88,70,100,4.06,CA,1631646132
23,Albany,42.6001,-73.9662,299.63,71,81,3.25,US,1631645826
24,Kahului,20.8947,-156.47,297.58,88,7,4.43,US,1631646122
25,Tasiilaq,65.6145,-37.6368,279.24,77,98,1.23,GL,1631646123
26,Nikolskoye,59.7035,30.7861,283.09,70,100,4.67,RU,1631646166
27,Bluff,-46.6,168.3333,273.04,83,64,4.62,NZ,1631646081
28,Half Moon Bay,37.4636,-122.4286,305.83,68,1,3.09,US,1631646086
29,Dwārka,22.2394,68.9678,300.32,90,100,5.87,IN,1631646287
30,Rikitea,-23.1203,-134.9692,296.24,77,100,4.51,PF,1631646057
31,Ushuaia,-54.8,-68.3,277.94,65,75,11.83,AR,1631645847
32,Mataura,-46.1927,168.8643,272.86,98,9,1.08,NZ,1631646090
33,Jamestown,42.097,-79.2353,300.98,64,100,5.81,US,1631646024
34,George Town,5.4112,100.3354,299.76,84,20,0.0,MY,1631646106
35,Ribeira Grande,38.5167,-28.7,296.37,64,20,2.06,PT,1631646090
36,Pandan,14.0453,124.1694,300.03,85,95,2.19,PH,1631646288
37,Natal,-5.795,-35.2094,300.87,69,24,6.67,BR,1631646059
38,Smithers,54.7804,-127.1743,286.33,88,75,0.0,CA,1631646204
39,Chapais,49.7834,-74.8492,285.26,52,100,4.23,CA,1631646288
40,Port Elizabeth,-33.918,25.5701,288.31,88,75,7.2,ZA,1631646061
41,Yar-Sale,66.8333,70.8333,279.57,95,100,3.97,RU,1631646066
42,Aksu,41.1231,80.2644,294.59,46,100,3.6,CN,1631646289
43,Dunedin,-45.8742,170.5036,276.37,90,6,0.89,NZ,1631646289
44,Hobart,-42.8794,147.3294,281.07,90,90,3.09,AU,1631645901
45,Ouésso,1.6136,16.0517,296.98,81,15,0.47,CG,1631646136
46,Cherskiy,68.75,161.3,277.86,82,100,0.66,RU,1631646152
47,La Ronge,55.1001,-105.2842,289.43,47,6,2.48,CA,1631646290
48,Bontang,0.1333,117.5,297.84,90,100,1.96,ID,1631646290
49,Tiarei,-17.5333,-149.3333,300.16,74,62,10.05,PF,1631646290
50,Broome,42.2506,-75.833,301.74,64,75,1.34,US,1631646291
51,Vardø,70.3705,31.1107,279.14,81,75,4.63,NO,1631646189
52,Fergus Falls,46.283,-96.0776,295.14,48,40,2.68,US,1631646291
53,Katsuura,35.1333,140.3,294.21,93,100,6.03,JP,1631646232
54,Mitsamiouli,-11.3847,43.2844,298.42,76,47,1.94,KM,1631646296
55,Vengurla,15.8667,73.6333,298.75,86,93,3.54,IN,1631646297
56,Oranjemund,-28.55,16.4333,285.97,78,71,5.66,NA,1631646297
57,Talavera,15.6167,120.9333,297.19,91,7,1.03,PH,1631646297
58,Port Hardy,50.6996,-127.4199,287.25,94,75,2.06,CA,1631646155
59,Airai,-8.9266,125.4092,288.45,75,25,1.14,TL,1631646298
60,Adilabad,19.6667,78.5333,298.53,86,100,5.28,IN,1631646298
61,Castro,-24.7911,-50.0119,294.99,71,100,4.34,BR,1631646060
62,Bājitpur,24.2167,90.95,301.17,90,100,1.89,BD,1631646299
63,Yerbogachën,61.2767,108.0108,275.44,88,23,2.28,RU,1631646061
64,Carnarvon,-24.8667,113.6333,290.91,71,0,6.74,AU,1631646105
65,Ngunguru,-35.6167,174.5,288.8,93,100,3.77,NZ,1631646299
66,Cayenne,4.9333,-52.3333,305.17,75,20,2.24,GF,1631646093
67,Yulin,22.6333,110.15,298.1,93,97,0.64,CN,1631646300
68,Valparaíso,-33.0393,-71.6273,289.61,52,0,9.75,CL,1631646021
69,Ahipara,-35.1667,173.1667,287.47,94,99,2.75,NZ,1631646150
70,Souillac,-20.5167,57.5167,293.36,77,20,3.6,MU,1631646300
71,Sitka,57.0531,-135.33,284.93,73,26,2.62,US,1631645975
72,Chokurdakh,70.6333,147.9167,274.81,85,100,4.5,RU,1631646138
73,Hermanus,-34.4187,19.2345,286.43,71,100,3.38,ZA,1631646059
74,Talnakh,69.4865,88.3972,278.7,88,100,1.63,RU,1631646301
75,Waipawa,-41.4122,175.5153,279.5,75,45,1.25,NZ,1631646301
76,Severo-Kuril'sk,50.6789,156.125,283.28,86,100,3.79,RU,1631646139
77,Sola,-13.8833,167.55,299.55,75,9,8.19,VU,1631646213
78,Kapaa,22.0752,-159.319,300.08,59,13,2.68,US,1631646058
79,Saint George,37.1041,-113.5841,310.41,17,0,0.89,US,1631646010
80,Vaini,-21.2,-175.2,296.62,85,0,4.36,TO,1631646156
81,Cedar City,37.6775,-113.0619,302.26,10,0,4.0,US,1631646065
82,Bredasdorp,-34.5322,20.0403,283.86,81,100,2.67,ZA,1631646062
83,Buala,-8.145,159.5921,299.49,79,100,3.06,SB,1631646302
84,Pacific Grove,36.6177,-121.9166,301.02,85,32,1.34,US,1631645988
85,Bubaque,11.2833,-15.8333,300.62,75,65,2.77,GW,1631646315
86,Izhma,65.0083,53.9113,275.33,92,65,3.18,RU,1631646316
87,Atuona,-9.8,-139.0333,298.63,68,1,8.58,PF,1631646226
88,Acapulco de Juárez,16.8634,-99.8901,298.05,94,90,4.12,MX,1631646173
89,Sampit,-2.5333,112.95,295.8,99,100,1.09,ID,1631646317
90,Najrān,17.4924,44.1277,299.68,16,1,2.03,SA,1631646317
91,Saint Paul Harbor,57.79,-152.4072,281.88,71,90,3.09,US,1631645786
92,Codrington,-38.2667,141.9667,280.37,72,100,1.74,AU,1631646215
93,Zhezkazgan,47.8043,67.7144,289.92,16,92,3.68,KZ,1631646318
94,Cidreira,-30.1811,-50.2056,292.14,88,100,5.14,BR,1631646131
95,Evensk,61.95,159.2333,278.83,70,30,3.22,RU,1631646319
96,San Borja,-14.8167,-66.85,310.7,27,89,4.2,BO,1631646319
97,Kinablangan,7.6947,126.5503,298.97,83,79,1.28,PH,1631646319
98,Kilindoni,-7.9139,39.6668,297.95,79,7,7.18,TZ,1631646319
99,Kiryat Gat,31.61,34.7642,299.53,100,0,2.73,IL,1631646320
100,Seybaplaya,19.65,-90.6667,305.85,55,100,3.34,MX,1631646321
101,Pevek,69.7008,170.3133,273.49,99,100,1.32,RU,1631646229
102,Kaitangata,-46.2817,169.8464,273.24,91,16,2.67,NZ,1631646322
103,Busselton,-33.65,115.3333,279.87,82,95,2.39,AU,1631646124
104,Shelburne,44.0787,-80.2041,298.56,46,100,9.34,CA,1631646338
105,Barra Patuca,15.8,-84.2833,303.05,66,68,4.45,HN,1631646339
106,Uruçuí,-7.2294,-44.5561,312.2,16,8,3.55,BR,1631646339
107,Qaanaaq,77.484,-69.3632,269.46,89,95,1.61,GL,1631646080
108,Lynden,48.9465,-122.4521,289.12,88,90,0.45,US,1631646347
109,Avarua,-21.2078,-159.775,297.18,83,40,5.66,CK,1631646091
110,Vila Velha,-20.3297,-40.2925,301.12,69,0,9.26,BR,1631646270
111,Mount Isa,-20.7333,139.5,290.02,23,9,1.54,AU,1631646230
112,San Angelo,31.4638,-100.437,304.5,54,1,0.89,US,1631646228
113,Sorata,-15.7667,-68.6333,286.02,70,79,5.0,BO,1631646348
114,Tezu,27.9167,96.1667,298.29,73,0,1.9,IN,1631646126
115,Chulym,55.0997,80.9572,280.26,96,100,3.19,RU,1631646348
116,Unguía,8.0434,-77.0945,301.7,86,93,0.29,CO,1631646349
117,Fort Nelson,58.8053,-122.7002,284.92,62,90,4.12,CA,1631646202
118,San Cristobal,7.7669,-72.225,302.25,39,4,3.51,VE,1631645894
119,Charter Township of Clinton,42.587,-82.9199,305.33,61,75,0.89,US,1631646349
120,Almaznyy,48.0448,40.045,292.23,41,96,3.07,RU,1631646349
121,Arraial do Cabo,-22.9661,-42.0278,296.97,80,76,10.04,BR,1631646133
122,Viedma,-40.8135,-62.9967,290.02,24,4,5.54,AR,1631646350
123,Zyryanka,65.75,150.85,280.6,67,100,3.17,RU,1631646223
124,Ilulissat,69.2167,-51.1,271.64,79,63,1.67,GL,1631646350
125,Beringovskiy,63.05,179.3167,276.87,65,100,5.46,RU,1631646350
126,Athens,37.9795,23.7162,299.96,38,0,0.45,GR,1631645618
127,Matamoros,25.5333,-103.25,306.21,34,75,3.6,MX,1631646351
128,Bangkalan,-7.0455,112.7351,298.89,81,100,2.12,ID,1631646351
129,Cabo San Lucas,22.8909,-109.9124,304.92,72,13,2.15,MX,1631645968
130,Mossamedes,-15.1961,12.1522,289.46,86,55,3.59,AO,1631646231
131,Laas,46.6166,10.7002,292.1,90,100,1.34,IT,1631646354
132,Kwang Binh,17.4833,106.6,300.02,90,100,1.89,VN,1631646132
133,Bilibino,68.0546,166.4372,274.23,98,100,0.39,RU,1631646354
134,Saint-Philippe,-21.3585,55.7679,293.92,75,32,4.96,RE,1631646165
135,Nautla,20.2167,-96.7833,302.93,72,98,2.92,MX,1631646355
136,Capão da Canoa,-29.7456,-50.0097,291.52,95,100,5.79,BR,1631646356
137,Olafsvik,64.8945,-23.7142,282.94,79,96,12.32,IS,1631646216
138,Ayan,56.45,138.1667,287.31,61,100,2.8,RU,1631645912
139,Veţel,45.9,22.8167,290.95,64,8,0.38,RO,1631646356
140,Necochea,-38.5473,-58.7368,285.95,57,17,5.73,AR,1631646011
141,Snihurivka,47.0758,32.8052,293.09,56,17,3.62,UA,1631646357
142,Nabire,-3.3667,135.4833,296.7,92,99,1.29,ID,1631646357
143,Cape Town,-33.9258,18.4232,286.55,73,75,1.34,ZA,1631645925
144,Sakakah,29.9697,40.2064,303.26,20,0,3.43,SA,1631646358
